Date,Close/Last,Volume,Open,High,Low,SYMBOL
06/23/2023,$113.43,11958540,$114.09,$115.28,$113.03,QUALCOM
06/22/2023,$116.40,7285455,$116.01,$116.68,$114.9121,QUALCOM
06/21/2023,$115.76,7925428,$118.61,$119.02,$115.6654,QUALCOM
06/20/2023,$119.82,8670781,$121.94,$122.37,$118.71,QUALCOM
06/16/2023,$122.68,12905730,$124.59,$124.98,$122.10,QUALCOM
06/15/2023,$123.61,8132561,$121.58,$124.69,$121.04,QUALCOM
06/14/2023,$123.40,7324605,$124.35,$124.43,$121.50,QUALCOM
06/13/2023,$124.43,8873225,$124.28,$125.40,$122.75,QUALCOM
06-12-2023,$122.14,9686711,$121.04,$122.31,$119.77,QUALCOM
06-09-2023,$119.11,13810270,$117.488,$120.85,$117.38,QUALCOM
06-08-2023,$116.35,5798724,$115.60,$116.64,$114.10,QUALCOM
06-07-2023,$115.18,7555407,$116.63,$117.16,$114.49,QUALCOM
06-06-2023,$116.36,7594454,$112.58,$116.79,$112.24,QUALCOM
06-05-2023,$112.73,7769250,$115.43,$115.92,$112.64,QUALCOM
06-02-2023,$115.62,7873384,$117.24,$117.40,$114.69,QUALCOM
06-01-2023,$115.83,8616527,$114.56,$116.56,$112.31,QUALCOM
05/31/2023,$113.41,14923980,$113.56,$114.00,$111.60,QUALCOM
05/30/2023,$116.00,18291790,$114.50,$116.69,$112.61,QUALCOM
05/26/2023,$110.35,15969940,$104.94,$111.28,$104.82,QUALCOM
05/25/2023,$104.02,11677430,$101.93,$104.11,$101.47,QUALCOM
05/24/2023,$103.02,8193652,$102.08,$103.14,$101.58,QUALCOM
05/23/2023,$103.56,7452455,$104.07,$105.64,$103.47,QUALCOM
05/22/2023,$105.28,7912384,$103.672,$105.87,$103.25,QUALCOM
05/19/2023,$105.86,5783173,$106.95,$107.12,$105.515,QUALCOM
05/18/2023,$106.96,9141957,$104.81,$107.12,$104.81,QUALCOM
05/17/2023,$104.81,9504738,$104.19,$105.45,$103.58,QUALCOM
05/16/2023,$103.79,7031502,$105.67,$106.48,$103.72,QUALCOM
05/15/2023,$106.28,7444855,$103.76,$106.40,$102.89,QUALCOM
